Siren;Responsable;Adresse;Code_Postal;Ville;NAF;TypeCIL;Portee;Location;Adress generated;Latitude;Longitude;name;description
781582838;ADMR DES TROIS MOUTIERS;11 RUE ARISTIDE GIGOT ;86120;LES TROIS MOUTIERS;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;11 RUE ARISTIDE GIGOT  LES TROIS MOUTIERS;11 RUE ARISTIDE GIGOT  LES TROIS MOUTIERS;47.062339;0.017486;ADMR DES TROIS MOUTIERS;SIREN : 781582838 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
342436847;SCP DEBRAY GROSSEMY HUISSIERS DE JUSTICE ASSOCIES;8 RUE ARISTIDE BRIAND BP 84;61203;ARGENTAN CEDEX;6910Z Activités juridiques;PROFESSIONNEL;Etendue;8 RUE ARISTIDE BRIAND BP 84 61203 ARGENTAN CEDEX;8 RUE ARISTIDE BRIAND 61203 ARGENTAN CEDEX;48.745311;-0.01816;SCP DEBRAY GROSSEMY HUISSIERS DE JUSTICE ASSOCIES;SIREN : 342436847 | NAF : 6910Z Activités juridiques | Portée : Etendue
314571415;ADMR FRESNAY SUR SARTHE;MAIRIE ;72130;FRESNAY SUR SARTHE;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue;MAIRIE  FRESNAY SUR SARTHE;MAIRIE  FRESNAY SUR SARTHE;48.281672;0.018508;ADMR FRESNAY SUR SARTHE;SIREN : 314571415 | NAF : 8899B Autre action sociale sans hébergement | Portée : Etendue
353514284;A.D.M.R. LE RELAIS;MAIRIE ;65100;JARRET;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;MAIRIE  JARRET;MAIRIE  JARRET;43.077754;-0.018656;A.D.M.R. LE RELAIS;SIREN : 353514284 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
378645931;FRANCOIS LE BRAS  LILIAN MARTIN JEAN PIERRE BOUL NOTAIRES ASSOCIES;11, RUE SAINT GERMAIN ;61200;ARGENTAN;6910Z Activités juridiques;PROFESSIONNEL;Etendue;11, RUE SAINT GERMAIN  ARGENTAN;11, RUE SAINT GERMAIN  ARGENTAN;48.744648;-0.019906;FRANCOIS LE BRAS  LILIAN MARTIN JEAN PIERRE BOUL NOTAIRES ASSOCIES;SIREN : 378645931 | NAF : 6910Z Activités juridiques | Portée : Etendue
304952351;SCP BRIGITTE LAFOSSE & SEBASTIEN KERNAONET HUISSIERS DE JUSTICE ASSOCIES;2 TER, RUE DU SERGENT ESCOFFIER BP 135;61204;ARGENTAN CEDEX;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;2 TER, RUE DU SERGENT ESCOFFIER BP 135 61204 ARGENTAN CEDEX;2 TER, RUE DU SERGENT ESCOFFIER 61204 ARGENTAN CEDEX;48.74234;-0.022901;SCP BRIGITTE LAFOSSE & SEBASTIEN KERNAONET HUISSIERS DE JUSTICE ASSOCIES;SIREN : 304952351 | NAF : 741A Activités juridiques, comptables et de conseil de gestion | Portée : Etendue
301768000;ADMR CANTON D'ALLONNES;35 RUE ARMAND QUENARD ;49650;ALLONNES;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;35 RUE ARMAND QUENARD  ALLONNES;35 RUE ARMAND QUENARD  ALLONNES;47.294698;0.024454;ADMR CANTON D'ALLONNES;SIREN : 301768000 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
350551370;ADMR NORD-GATINE;15 PL DE LA LIBERTE ;79390;THENEZAY;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;15 PL DE LA LIBERTE  THENEZAY;15 PL DE LA LIBERTE  THENEZAY;46.718846;-0.025035;ADMR NORD-GATINE;SIREN : 350551370 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
392832903;SIAD ADMR NORD GATINE;15 PL DE LA LIBERTE ;79390;THENEZAY;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;15 PL DE LA LIBERTE  THENEZAY;15 PL DE LA LIBERTE  THENEZAY;46.718846;-0.025035;SIAD ADMR NORD GATINE;SIREN : 392832903 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
306607367;ADMR LA SUZE SUR SARTHE;10 RUE DU GENERAL LECLERC ;72210;LA SUZE SUR SARTHE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;10 RUE DU GENERAL LECLERC  LA SUZE SUR SARTHE;10 RUE DU GENERAL LECLERC  LA SUZE SUR SARTHE;47.889748;0.025277;ADMR LA SUZE SUR SARTHE;SIREN : 306607367 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
328358163;ADMR EST CANTON D'OSSUN;2 B RUE RICHELIEU ;65380;OSSUN;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;2 B RUE RICHELIEU  OSSUN;2 B RUE RICHELIEU  OSSUN;43.183433;-0.0277;ADMR EST CANTON D'OSSUN;SIREN : 328358163 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
524264314;ADMR OUEST CANTON OSSUN;2 B RUE RICHELIEU ;65380;OSSUN;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;2 B RUE RICHELIEU  OSSUN;2 B RUE RICHELIEU  OSSUN;43.183433;-0.0277;ADMR OUEST CANTON OSSUN;SIREN : 524264314 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
320280159;ADMR LIVAROT;LE MANOIR DE L'ISLE 68 RUE MARCEL GAMBIER ;14140;LIVAROT;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;LE MANOIR DE L'ISLE 68 RUE MARCEL GAMBIER  14140 LIVAROT;3 RUE D'HARMONVILLE  14170 SAINT-PIERRE-SUR-DIVES;49.022122;-0.03026;ADMR LIVAROT;SIREN : 320280159 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
320280233;ADMR SAINT PIERRE SUR DIVES;53 BIS RUE DE LISIEUX ;14170;ST PIERRE SUR DIVES;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;53 BIS RUE DE LISIEUX  ST PIERRE SUR DIVES;53 BIS RUE DE LISIEUX  ST PIERRE SUR DIVES;49.021663;-0.03061;ADMR SAINT PIERRE SUR DIVES;SIREN : 320280233 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
226822160;REGIS HENRI LARBODIE;1 RUE DU STADE ;33350;PUJOLS SUR DORDOGNE;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;1 RUE DU STADE  PUJOLS SUR DORDOGNE;1 RUE DU STADE  PUJOLS SUR DORDOGNE;44.805924;-0.031816;REGIS HENRI LARBODIE;SIREN : 226822160 | NAF : 741A Activités juridiques, comptables et de conseil de gestion | Portée : Etendue
489099705;SCP FRAPPAT-LELEU NOTAIRES ASSOCIES;30 RUE DE LA REPUBLIQUE ;61160;TRUN;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;30 RUE DE LA REPUBLIQUE  TRUN;30 RUE DE LA REPUBLIQUE  TRUN;48.843321;0.032494;SCP FRAPPAT-LELEU NOTAIRES ASSOCIES;SIREN : 489099705 | NAF : 741A Activités juridiques, comptables et de conseil de gestion | Portée : Etendue
781181300;ADMR DE BLANZAC;2 ROUTE DE VILLEBOIS LAVALETTE ;16250;BLANZAC PORCHERESSE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;2 ROUTE DE VILLEBOIS LAVALETTE  BLANZAC PORCHERESSE;2 ROUTE DE VILLEBOIS LAVALETTE  BLANZAC PORCHERESSE;45.476837;0.033795;ADMR DE BLANZAC;SIREN : 781181300 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
314953977;A.D.M.R. RIVIERE BASSE;126 PL DE LA LIBERATION ;65700;MAUBOURGUET;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;126 PL DE LA LIBERATION  MAUBOURGUET;126 PL DE LA LIBERATION  MAUBOURGUET;43.468886;0.033869;A.D.M.R. RIVIERE BASSE;SIREN : 314953977 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
432914828;ETUDE DE MAITRE CECILE BOUREZ HUISSIER DE JUSTICE;15 RUE DUMORET BP 23;65701;MAUBOURGUET CEDEX;6910Z Activités juridiques;PROFESSIONNEL;Etendue;15 RUE DUMORET BP 23 65701 MAUBOURGUET CEDEX;15 RUE DUMORET  65701 MAUBOURGUET CEDEX;43.467245;0.035328;ETUDE DE MAITRE CECILE BOUREZ HUISSIER DE JUSTICE;SIREN : 432914828 | NAF : 6910Z Activités juridiques | Portée : Etendue
;SCP DEWISMES ET NAUD HUISSIERS DE JUSTICE ASSOCIES;1 RUE GAMBETTA BP 10011;33191;LA REOLE CEDEX;6910Z Activités juridiques;PROFESSIONNEL;Etendue;1 RUE GAMBETTA BP 10011 33191 LA REOLE CEDEX;1 RUE GAMBETTA  33191 LA REOLE CEDEX;44.582503;-0.036703;SCP DEWISMES ET NAUD HUISSIERS DE JUSTICE ASSOCIES;SIREN :  | NAF : 6910Z Activités juridiques | Portée : Etendue
781976428;ADMR DU REOLAIS;3 RUE ARMAND CADUC ;33190;LA REOLE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;3 RUE ARMAND CADUC  LA REOLE;3 RUE ARMAND CADUC  LA REOLE;44.582221;-0.037075;ADMR DU REOLAIS;SIREN : 781976428 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
422553453;ETUDE DE MAITRE PHILIPPE BOUNIOL HUISSIER DE JUSTICE;8 RUE DES MOUSQUETAIRES ;32110;NOGARO;6910Z Activités juridiques;PROFESSIONNEL;Etendue;8 RUE DES MOUSQUETAIRES  NOGARO;8 RUE DES MOUSQUETAIRES  NOGARO;43.758756;-0.037511;ETUDE DE MAITRE PHILIPPE BOUNIOL HUISSIER DE JUSTICE;SIREN : 422553453 | NAF : 6910Z Activités juridiques | Portée : Etendue
781187604;ADMR DE CHALAIS;3 RUE PASCAUD CHOQUEUR ;16210;CHALAIS;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;3 RUE PASCAUD CHOQUEUR  CHALAIS;3 RUE PASCAUD CHOQUEUR  CHALAIS;45.27145;0.03884;ADMR DE CHALAIS;SIREN : 781187604 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
781976147;SCP DOMINIQUE CINTAS ET PHILIPPE DELAYE;19 RUE NUMA DUCROS BP 23;33191;LA REOLE CEDEX;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;19 RUE NUMA DUCROS BP 23 33191 LA REOLE CEDEX;19 RUE NUMA DUCROS  33191 LA REOLE CEDEX;44.582595;-0.040348;SCP DOMINIQUE CINTAS ET PHILIPPE DELAYE;SIREN : 781976147 | NAF : 741A Activités juridiques, comptables et de conseil de gestion | Portée : Etendue
340617273;ADMR DE MANCIET;CHEMIN DE L ENCLOS ;32370;MANCIET;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;CHEMIN DE L ENCLOS  32370 MANCIET;32370 MANCIET;43.799411;0.041155;ADMR DE MANCIET;SIREN : 340617273 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
320788839;ADMR DE HIERSAC;12 ROUTE DE HIERSAC ;16290;ST SATURNIN;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;12 ROUTE DE HIERSAC  ST SATURNIN;12 ROUTE DE HIERSAC  ST SATURNIN;45.661927;0.042796;ADMR DE HIERSAC;SIREN : 320788839 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
781184361;ADMR DE BROSSAC;MAIRIE ;16480;BROSSAC;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;MAIRIE  BROSSAC;MAIRIE  BROSSAC;45.32999;-0.04459;ADMR DE BROSSAC;SIREN : 781184361 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
411186836;HENRI ET FRANCOIS CHALVIGNAC NOTAIRES ASSOCIES;10 AVENUE MARECHAL JUIN BP 123;65104;LOURDES CEDEX;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;10 AVENUE MARECHAL JUIN BP 123 65104 LOURDES CEDEX;10 AVENUE MARECHAL JUIN  65104 LOURDES CEDEX;43.092266;-0.044812;HENRI ET FRANCOIS CHALVIGNAC NOTAIRES ASSOCIES;SIREN : 411186836 | NAF : 741A Activités juridiques, comptables et de conseil de gestion | Portée : Etendue
441833118;ETUDE DE MAITRE GUILLAUME WLOSTOWICER HUISSIER DE JUSTICE;23 AVENUE JEAN GUERIN ;33690;GRIGNOLS;6910Z Activités juridiques;PROFESSIONNEL;Etendue;23 AVENUE JEAN GUERIN  GRIGNOLS;23 AVENUE JEAN GUERIN  GRIGNOLS;44.387552;-0.046294;ETUDE DE MAITRE GUILLAUME WLOSTOWICER HUISSIER DE JUSTICE;SIREN : 441833118 | NAF : 6910Z Activités juridiques | Portée : Etendue
373129895;SCP CLAVERIE ET BARRET HUISSIERS DE JUSTICE ASSOCIES;2 AVENUE DU MARECHAL FOCH ;65100;LOURDES;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;2 AVENUE DU MARECHAL FOCH  LOURDES;2 AVENUE DU MARECHAL FOCH  LOURDES;43.092737;-0.046321;SCP CLAVERIE ET BARRET HUISSIERS DE JUSTICE ASSOCIES;SIREN : 373129895 | NAF : 741A Activités juridiques, comptables et de conseil de gestion | Portée : Etendue
348148040;A.D.M.R. ETS LIGADES;MAIRIE DE BARTRES ;65100;BARTRES;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;MAIRIE DE BARTRES  65100 BARTRES;MAIRIE DE BARTRES  65100 BARTRES;43.124331;-0.047609;A.D.M.R. ETS LIGADES;SIREN : 348148040 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
484160536;ETUDE DE MAITRE BURILLIER LAURENT HUISSIER DE JUSTICE;37 RUE JEAN-JAURES ;33350;CASTILLON-LA-BATAILLE;6910Z Activités juridiques;PROFESSIONNEL;Etendue;37 RUE JEAN-JAURES  CASTILLON-LA-BATAILLE;37 RUE JEAN-JAURES  CASTILLON-LA-BATAILLE;44.850833;-0.0478;ETUDE DE MAITRE BURILLIER LAURENT HUISSIER DE JUSTICE;SIREN : 484160536 | NAF : 6910Z Activités juridiques | Portée : Etendue
421437898;SCPBOURDON GUILLAUME ET BEGOT HERVE HUISSIERS DE JUSTICE ASSOCIES;59 ROUTE DU PORT EN BESSIN BP 11125;14400;BAYEUX;6910Z Activités juridiques;PROFESSIONNEL;Etendue;59 ROUTE DU PORT EN BESSIN BP 11125 14400 BAYEUX;RESIDENCE JB CHEVALIER  RUE OINVILLE  14430 DOZULE;49.232322;-0.047996;SCPBOURDON GUILLAUME ET BEGOT HERVE HUISSIERS DE JUSTICE ASSOCIES;SIREN : 421437898 | NAF : 6910Z Activités juridiques | Portée : Etendue
451031488;ADMR DU PAYS D'AUGE;RESIDENCE JB CHEVALIER  RUE OINVILLE ;14430;DOZULE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;RESIDENCE JB CHEVALIER  RUE OINVILLE  14430 DOZULE;RUE OINVILLE  14430 DOZULE;49.232322;-0.047996;ADMR DU PAYS D'AUGE;SIREN : 451031488 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
790296602;SCP GUILLAUME DAON;9 PLACE MARECHAL LECLERC BP 12 ;14310;VILLIERS-BOCAGE;;PROFESSIONNEL;Etendue;9 PLACE MARECHAL LECLERC BP 12  14310 VILLIERS-BOCAGE;MAIRIE DE CAMBREMER  14340 CAMBREMER;49.150643;0.048774;SCP GUILLAUME DAON;SIREN : 790296602 | NAF :  | Portée : Etendue
340138130;SCP KECHICHIAN PAUL ET PORCQ EMMANUEL;10 BIS FAUBOURG DU PONT MOUSSE ;14430;DOZULE;;PROFESSIONNEL;Etendue;10 BIS FAUBOURG DU PONT MOUSSE  DOZULE;10 BIS FAUBOURG DU PONT MOUSSE  DOZULE;49.229112;-0.050773;SCP KECHICHIAN PAUL ET PORCQ EMMANUEL;SIREN : 340138130 | NAF :  | Portée : Etendue
312408891;ADMR DE CHATEAUNEUF;13 B RUE ALFRED DE VIGNY ;16120;CHATEAUNEUF SUR CHARENTE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;13 B RUE ALFRED DE VIGNY  CHATEAUNEUF SUR CHARENTE;13 B RUE ALFRED DE VIGNY  CHATEAUNEUF SUR CHARENTE;45.595159;-0.050839;ADMR DE CHATEAUNEUF;SIREN : 312408891 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
341612786;SCP  MACHAT MARYLINE;11 RUE ALFRED DE VIGNY ;16120;CHATEAUNEUF-SUR-CHARENTE;;PROFESSIONNEL;Etendue;11 RUE ALFRED DE VIGNY  CHATEAUNEUF-SUR-CHARENTE;11 RUE ALFRED DE VIGNY  CHATEAUNEUF-SUR-CHARENTE;45.595342;-0.051142;SCP  MACHAT MARYLINE;SIREN : 341612786 | NAF :  | Portée : Etendue
786223000;ADMR LES GENETS D'OR;1 RUE JALESNES ;49390;VERNANTES;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;1 RUE JALESNES  VERNANTES;1 RUE JALESNES  VERNANTES;47.39322;0.05231;ADMR LES GENETS D'OR;SIREN : 786223000 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
326024957;ETUDE DE MAITRE LAPENE-DEYTIEUX JEAN-PIERRE HUISSIER DE JUSTICE;27 BOULEVARD D'ALSACE BP 60007;65501;VIC EN BIGORRE;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;27 BOULEVARD D'ALSACE BP 60007 VIC EN BIGORRE;27 BOULEVARD D'ALSACE BP 60007 VIC EN BIGORRE;43.386016;0.054424;ETUDE DE MAITRE LAPENE-DEYTIEUX JEAN-PIERRE HUISSIER DE JUSTICE;SIREN : 326024957 | NAF : 741A Activités juridiques, comptables et de conseil de gestion | Portée : Etendue
450707328;ETUDE DE MAITRE ARNAUD BIROLLAUD HUISSIER DE JUSTICE;1 RUE DES ACACIAS BP 38;16120;CHATEAUNEUF SUR CHARENTE;6910Z Activités juridiques;PROFESSIONNEL;Etendue;1 RUE DES ACACIAS BP 38 CHATEAUNEUF SUR CHARENTE;1 RUE DES ACACIAS BP 38 CHATEAUNEUF SUR CHARENTE;45.599992;-0.05472;ETUDE DE MAITRE ARNAUD BIROLLAUD HUISSIER DE JUSTICE;SIREN : 450707328 | NAF : 6910Z Activités juridiques | Portée : Etendue
318424801;A.D.M.R. VIC EN BIGORRE;POLE DES SERVICES PUBLICS 21 PL DU CORPS FRANC POMMIES ;65500;VIC EN BIGORRE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;POLE DES SERVICES PUBLICS 21 PL DU CORPS FRANC POMMIES  VIC EN BIGORRE;POLE DES SERVICES PUBLICS 21 PL DU CORPS FRANC POMMIES  VIC EN BIGORRE;43.386775;0.055534;A.D.M.R. VIC EN BIGORRE;SIREN : 318424801 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
398909333;SIAD DE MEZIDON;53 RUE JULES GUESDE ;14270;MEZIDON CANON;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;53 RUE JULES GUESDE  MEZIDON CANON;53 RUE JULES GUESDE  MEZIDON CANON;49.080716;-0.057421;SIAD DE MEZIDON;SIREN : 398909333 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
503956997;ADMR TARBES ET SA PERIPHERIE;52 AV ARISTIDE BRIAND ;65000;TARBES;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;52 AV ARISTIDE BRIAND  TARBES;52 AV ARISTIDE BRIAND  TARBES;43.222749;0.06265;ADMR TARBES ET SA PERIPHERIE;SIREN : 503956997 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
781236807;ADMR DE ROUILLAC;PLACE THIERS ;16170;ROUILLAC;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;PLACE THIERS  ROUILLAC;PLACE THIERS  ROUILLAC;45.775231;-0.064674;ADMR DE ROUILLAC;SIREN : 781236807 | NAF : 8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées | Portée : Etendue
521464446;DEPP NATURE DEAUVILLE;3 RUE SEM ;14800;DEAUVILLE;9604Z Autres services personnels;PROFESSIONNEL;Etendue;3 RUE SEM  DEAUVILLE;3 RUE SEM  DEAUVILLE;49.360563;0.067166;DEPP NATURE DEAUVILLE;SIREN : 521464446 | NAF : 9604Z Autres services personnels | Portée : Etendue
434120531;VIVANAT; CAMOUS  ;32400;RISCLE;3821Z Traitement et élimination des déchets;PROFESSIONNEL;Etendue; CAMOUS   RISCLE;CAMOUS  RISCLE;43.668168;-0.067207;VIVANAT;SIREN : 434120531 | NAF : 3821Z Traitement et élimination des déchets | Portée : Etendue
419783451;PRESTAT MXIME NOTAIRE;6 RUE DE SEILLONS ;791110;CHEF BOUTONNE;6910Z Activités juridiques;PROFESSIONNEL;Etendue;6 RUE DE SEILLONS  CHEF BOUTONNE;6 RUE DE SEILLONS  CHEF BOUTONNE;46.108129;-0.067231;PRESTAT MXIME NOTAIRE;SIREN : 419783451 | NAF : 6910Z Activités juridiques | Portée : Etendue
