Siren;Responsable;Adresse;Code_Postal;Ville;NAF;TypeCIL;Portee;Locations;Adress generated;Latitude;Longitude;name;description
480066547;GENIP'EYES;CENTRE D'AFFAIRES GENIPA ;97200;OUCOS;524T Autres commerces de détail en magasin spécialisé;SALARIE;Générale;CENTRE D'AFFAIRES GENIPA  97200 OUCOS;97200 OUCOS;26.904389;-80.125979;GENIP'EYES;SIREN : 480066547 | NAF : 524T Autres commerces de détail en magasin spécialisé |Portée : Générale
784205304;CIRESA SECRETARIAT GENERAL - ETUDES JURIDIQUES; ;75926;PARIS CEDEX 19;6530Z Caisses de retraite;SALARIE;Etendue;  75926 PARIS CEDEX 19;75926 PARIS CEDEX 19;-33.034756;-71.57827;CIRESA SECRETARIAT GENERAL - ETUDES JURIDIQUES;SIREN : 784205304 | NAF : 6530Z Caisses de retraite |Portée : Etendue
532793683;CORSE TELEMEDECINE & E-SANTE;M. AUGUSTIN VALLET, RESIDENCE BARBICAJA III A BD TINO ROSSI;20000;AJACCIO;8559A Autres activités d'enseignement;SALARIE;Etendue;M. AUGUSTIN VALLET, RESIDENCE BARBICAJA III A BD TINO ROSSI 20000 AJACCIO;M. AUGUSTIN VALLET, RESIDENCE BARBICAJA III A BD TINO ROSSI 20000 AJACCIO;41.909406;8.691042;CORSE TELEMEDECINE & E-SANTE;SIREN : 532793683 | NAF : 8559A Autres activités d'enseignement |Portée : Etendue
310288568;LE LOGIS CORSE;2 BIS AVENUE DE LA LIBERATION ;20600;BASTIA;4110A Promotion immobilière;SALARIE;Etendue;2 BIS AVENUE DE LA LIBERATION  20600 BASTIA;2 BIS AVENUE DE LA LIBERATION  20600 BASTIA;42.685777;9.445253;LE LOGIS CORSE;SIREN : 310288568 | NAF : 4110A Promotion immobilière |Portée : Etendue
315015362;SCP OLLET-VIDAL-CANOVAS GADEL NOTAIRES ASSOCIES;4 ESPACE MEDITERRANEE BP 135;66001;PERPIGNAN CEDEX;741A Activités juridiques, comptables et de conseil de gestion;SALARIE;Etendue;4 ESPACE MEDITERRANEE BP 135 66001 PERPIGNAN CEDEX;4 ESPACE MEDITERRANEE  66001 PERPIGNAN CEDEX;42.702061;2.889777;SCP OLLET-VIDAL-CANOVAS GADEL NOTAIRES ASSOCIES;SIREN : 315015362 | NAF : 741A Activités juridiques, comptables et de conseil de gestion |Portée : Etendue
776656175;CAISSE PRIMAIRE D'ASSURANCE MALADIE DE L'ARIEGE;1 AVENUE DE SIBIAN ;9015;FOIX CEDEX;8430A Sécurité sociale obligatoire;SALARIE;Etendue;1 AVENUE DE SIBIAN  9015 FOIX CEDEX;1 AVENUE DE SIBIAN  9015 FOIX CEDEX;42.965021;1.59699;CAISSE PRIMAIRE D'ASSURANCE MALADIE DE L'ARIEGE;SIREN : 776656175 | NAF : 8430A Sécurité sociale obligatoire |Portée : Etendue
334182888;PROVELEC SUD SERVICE ADMINISTRATIF ET COMPTABLE; ;83140;SIX FOURS;4222Z Construction de réseaux et de lignes;SALARIE;Etendue;  83140 SIX FOURS;83140 SIX FOURS;43.094484;5.824835;PROVELEC SUD SERVICE ADMINISTRATIF ET COMPTABLE;SIREN : 334182888 | NAF : 4222Z Construction de réseaux et de lignes |Portée : Etendue
775713704;ASSOCIATION GÉNÉRALE DE PRÉVOYANCE MILITAIRE;RUE NICOLAS APPERT ;83086;TOULON CEDEX 9;660A Assurance;SALARIE;Etendue;RUE NICOLAS APPERT  83086 TOULON CEDEX 9;RUE NICOLAS APPERT  83086 TOULON CEDEX 9;43.125266;5.973606;ASSOCIATION GÉNÉRALE DE PRÉVOYANCE MILITAIRE;SIREN : 775713704 | NAF : 660A Assurance |Portée : Etendue
350916391;CENTRE DEPARTEMENTAL POUR L'INSERTION SOCIALE DE TOULON;21 RUE DE PEIRESC ;83000;TOULON;853H Action sociale;SALARIE;Etendue;21 RUE DE PEIRESC  83000 TOULON;21 RUE DE PEIRESC  83000 TOULON;43.126499;5.929782;CENTRE DEPARTEMENTAL POUR L'INSERTION SOCIALE DE TOULON;SIREN : 350916391 | NAF : 853H Action sociale |Portée : Etendue
549501203;ETABLISSEMENTS DEGREANE;75 RUE AUGUSTE PERRET ZAC LA PAULINE;83954;LA GARDE CEDEX;4321A Travaux d'installation électrique, plomberie et autres travaux d'installation;SALARIE;Etendue;75 RUE AUGUSTE PERRET ZAC LA PAULINE 83954 LA GARDE CEDEX;75 RUE AUGUSTE PERRET  83954 LA GARDE CEDEX;43.132575;6.027939;ETABLISSEMENTS DEGREANE;SIREN : 549501203 | NAF : 4321A Travaux d'installation électrique, plomberie et autres travaux d'installation |Portée : Etendue
384219507;GRAINES D'OC;49 BIS AVENUE DE LA GARE ;31220;MARTRES-TOLOSANE;4621Z Commerce de gros de produits agricoles bruts et d'animaux vivants;SALARIE;Etendue;49 BIS AVENUE DE LA GARE  31220 MARTRES-TOLOSANE;49 BIS AVENUE DE LA GARE  31220 MARTRES-TOLOSANE;43.197529;1.018703;GRAINES D'OC;SIREN : 384219507 | NAF : 4621Z Commerce de gros de produits agricoles bruts et d'animaux vivants |Portée : Etendue
438734311;DEGREANE HORIZON;730 RUE DE L'INITIATIVE - QUARTIER ST LAZARE ;83390;CUERS;4321A Travaux d'installation électrique, plomberie et autres travaux d'installation;SALARIE;Etendue;730 RUE DE L'INITIATIVE - QUARTIER ST LAZARE  83390 CUERS;730 RUE DE L'INITIATIVE - QUARTIER ST LAZARE  83390 CUERS;43.227646;6.07189;DEGREANE HORIZON;SIREN : 438734311 | NAF : 4321A Travaux d'installation électrique, plomberie et autres travaux d'installation |Portée : Etendue
777169020;CAISSE PRIMAIRE D'ASSURANCE MALADIE DES HAUTES PYRENEES;8 PLACE AU BOIS BP 319;65021;TARBES CEDEX;753A Sécurité sociale obligatoire;SALARIE;Etendue;8 PLACE AU BOIS BP 319 65021 TARBES CEDEX;8 PLACE AU BOIS 65021 TARBES CEDEX;43.229731;0.080332;CAISSE PRIMAIRE D'ASSURANCE MALADIE DES HAUTES PYRENEES;SIREN : 777169020 | NAF : 753A Sécurité sociale obligatoire |Portée : Etendue
777167412;SCP LAURENT - LAURENT - SUBRENAT;43 RUE DU MARECHAL FOCH ;65006;TARBES;6910Z Activités juridiques;SALARIE;Etendue;43 RUE DU MARECHAL FOCH  65006 TARBES;43 RUE DU MARECHAL FOCH  65006 TARBES;43.231608;0.076591;SCP LAURENT - LAURENT - SUBRENAT;SIREN : 777167412 | NAF : 6910Z Activités juridiques |Portée : Etendue
722780657;FONCIA CENTRE DE L´IMMOBILIER;33 AVENUE DU REGIMENT DE BIGORRE ;65000;TARBES;703A Activités immobilières pour compte de tiers;SALARIE;Etendue;33 AVENUE DU REGIMENT DE BIGORRE  65000 TARBES;33 AVENUE DU REGIMENT DE BIGORRE  65000 TARBES;43.231615;0.071775;FONCIA CENTRE DE L´IMMOBILIER;SIREN : 722780657 | NAF : 703A Activités immobilières pour compte de tiers |Portée : Etendue
418672010;MAIN PROTECTION S.A.S.;36, BOULEVARD DE L´OCEAN ;13009;MARSEILLE;8010Z Activités de sécurité privée;SALARIE;Etendue;36, BOULEVARD DE L´OCEAN  13009 MARSEILLE;36, BOULEVARD DE L´OCEAN  13009 MARSEILLE;43.238836;5.400556;MAIN PROTECTION S.A.S.;SIREN : 418672010 | NAF : 8010Z Activités de sécurité privée |Portée : Etendue
328931613;MAIN SECURITE SAS;36 BOULEVARD DE L'OCEAN ;13009;MARSEILLE;8010Z Activités de sécurité privée;SALARIE;Etendue;36 BOULEVARD DE L'OCEAN  13009 MARSEILLE;36 BOULEVARD DE L'OCEAN  13009 MARSEILLE;43.238836;5.400556;MAIN SECURITE SAS;SIREN : 328931613 | NAF : 8010Z Activités de sécurité privée |Portée : Etendue
312682156;CAISSE REGIONALE DU CREDIT MUTUEL MEDITERRANEEN;494 AVENUE DU PRADO ;13008;MARSEILLE;;SALARIE;Etendue;494 AVENUE DU PRADO  13008 MARSEILLE;494 AVENUE DU PRADO  13008 MARSEILLE;43.266648;5.380541;CAISSE REGIONALE DU CREDIT MUTUEL MEDITERRANEEN;SIREN : 312682156 | NAF :  |Portée : Etendue
310551890;FEDERATION DU CREDIT MUTUEL MEDITERRANEEN;494 AVENUE DU PRADO ;13000;MARSEILLE;9499Z Activités des autres organisations associatives;SALARIE;Etendue;494 AVENUE DU PRADO  13000 MARSEILLE;494 AVENUE DU PRADO  13000 MARSEILLE;43.266648;5.380541;FEDERATION DU CREDIT MUTUEL MEDITERRANEEN;SIREN : 310551890 | NAF : 9499Z Activités des autres organisations associatives |Portée : Etendue
344497011;COMPAGNIE DES ILES DU PONANT;408 AVENUE DU PRADO ;13008;MARSEILLE - FRANCE;5010Z Transports maritimes et côtiers de passagers;SALARIE;Etendue;408 AVENUE DU PRADO  13008 MARSEILLE - FRANCE;408 AVENUE DU PRADO  13008 MARSEILLE - FRANCE;43.269852;5.384183;COMPAGNIE DES ILES DU PONANT;SIREN : 344497011 | NAF : 5010Z Transports maritimes et côtiers de passagers |Portée : Etendue
428561864;SARL RESIDENCE ABBAYE DU CAP;AVE DU CHEVALIER D'ALFONSE BAT D BP 615 ;34305;CAP D'AGDE CEDEX;Code APE: 552E;SALARIE;Etendue;AVE DU CHEVALIER D'ALFONSE BAT D BP 615  34305 CAP D'AGDE CEDEX;AV DU CHEVALIER D'ALFONSE  34305 CAP D'AGDE CEDEX;43.283668;3.501192;SARL RESIDENCE ABBAYE DU CAP;SIREN : 428561864 | NAF : Code APE: 552E |Portée : Etendue
334365053;SYSTELCOM SAS;67 MONTEE DE SAINT MENET - BAT D PARC DE LA BUZINE;13011;MARSEILLE;3320D Installation de machines et d'équipements industriels;SALARIE;Etendue;67 MONTEE DE SAINT MENET - BAT D PARC DE LA BUZINE 13011 MARSEILLE;67 MONTEE DE SAINT MENET - BAT D PARC DE LA BUZINE 13011 MARSEILLE;43.284892;5.488268;SYSTELCOM SAS;SIREN : 334365053 | NAF : 3320D Installation de machines et d'équipements industriels |Portée : Etendue
57819518;LE VULCAIN;79, BOULEVARD DE L'EUROPE ZA L'ANJOLY CS 70018;13741;VITROLLES CEDEX;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;79, BOULEVARD DE L'EUROPE ZA L'ANJOLY CS 70018 13741 VITROLLES CEDEX;79, BOULEVARD DE L'EUROPE  13741 VITROLLES CEDEX;43.422316;5.263257;LE VULCAIN;SIREN : 57819518 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
776837122;GARRIGUES-MAS & DOMINGO-PLANES;24 AVENUE DE SOREZE ;31250;REVEL;6910Z Activités juridiques;SALARIE;Etendue;24 AVENUE DE SOREZE  31250 REVEL;24 AVENUE DE SOREZE  31250 REVEL;43.457133;2.009457;GARRIGUES-MAS & DOMINGO-PLANES;SIREN : 776837122 | NAF : 6910Z Activités juridiques |Portée : Etendue
542721063;MAISON DE BLANC BERROGAIN;BD DU B.A.B - USINE D'HARDOY ;64600;ANGLET;9601A Autres services personnels;SALARIE;Etendue;BD DU B.A.B - USINE D'HARDOY  64600 ANGLET;BD DU B.A.B - USINE D'HARDOY  64600 ANGLET;43.481402;-1.514699;MAISON DE BLANC BERROGAIN;SIREN : 542721063 | NAF : 9601A Autres services personnels |Portée : Etendue
303782098;BETON CONTROLE DE L'ADOUR;LIEU DIT CASTERA RUE DU MOULIN DE CASTERA ;64100;BAYONNE;2363Z Fabrication d'ouvrages en béton, en ciment ou en plâtre;SALARIE;Etendue;LIEU DIT CASTERA RUE DU MOULIN DE CASTERA  64100 BAYONNE;LIEU DIT CASTERA RUE DU MOULIN DE CASTERA  64100 BAYONNE;43.489837;-1.461818;BETON CONTROLE DE L'ADOUR;SIREN : 303782098 | NAF : 2363Z Fabrication d'ouvrages en béton, en ciment ou en plâtre |Portée : Etendue
662720796;BETON CONTROLE DU PAYS-BASQUE;LIEU DIT CASTERA RUE DU MOULIN DE CASTERA;64100;BAYONNE;2363Z Fabrication d'ouvrages en béton, en ciment ou en plâtre;SALARIE;Etendue;LIEU DIT CASTERA RUE DU MOULIN DE CASTERA 64100 BAYONNE;LIEU DIT CASTERA RUE DU MOULIN DE CASTERA 64100 BAYONNE;43.489837;-1.461818;BETON CONTROLE DU PAYS-BASQUE;SIREN : 662720796 | NAF : 2363Z Fabrication d'ouvrages en béton, en ciment ou en plâtre |Portée : Etendue
428182604;SARL LE REGINA;51 BIS AVENUE ALPHONSE XIII ;64200;BIARRITZ;6820A Location et exploitation de biens immobiliers propres ou loués;SALARIE;Etendue;51 BIS AVENUE ALPHONSE XIII  64200 BIARRITZ;51 BIS AVENUE ALPHONSE XIII  64200 BIARRITZ;43.492224;-1.549837;SARL LE REGINA;SIREN : 428182604 | NAF : 6820A Location et exploitation de biens immobiliers propres ou loués |Portée : Etendue
497220434;ARCANSUD;4 RUE FREDERIC ROSA ;13097;AIX EN PROVENCE;6820A Location et exploitation de biens immobiliers propres ou loués;SALARIE;Etendue;4 RUE FREDERIC ROSA  13097 AIX EN PROVENCE;4 RUE FREDERIC ROSA  13097 AIX EN PROVENCE;43.511495;5.435882;ARCANSUD;SIREN : 497220434 | NAF : 6820A Location et exploitation de biens immobiliers propres ou loués |Portée : Etendue
642016703;SOCIETE FRANCAISE DES HABITATIONS ECONOMIQUES;4 RUE FREDERIC ROSA ;13080;AIX EN PROVENCE;6820A Location et exploitation de biens immobiliers propres ou loués;SALARIE;Etendue;4 RUE FREDERIC ROSA  13080 AIX EN PROVENCE;4 RUE FREDERIC ROSA  13080 AIX EN PROVENCE;43.511495;5.435882;SOCIETE FRANCAISE DES HABITATIONS ECONOMIQUES;SIREN : 642016703 | NAF : 6820A Location et exploitation de biens immobiliers propres ou loués |Portée : Etendue
560800401;BERNARD PAGES;881 La PyrÃ©nÃ©enne ;31670;LABEGE;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;881 La PyrÃ©nÃ©enne  31670 LABEGE;881 La PyrÃ©nÃ©enne  31670 LABEGE;43.536733;1.528056;BERNARD PAGES;SIREN : 560800401 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
302717269;MPS;22, RUE BOUDEVILLE ZI DE THIBAUD;31104;TOULOUSE CEDEX;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;22, RUE BOUDEVILLE ZI DE THIBAUD 31104 TOULOUSE CEDEX;22, RUE BOUDEVILLE  31104 TOULOUSE CEDEX;43.550672;1.39895;MPS;SIREN : 302717269 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
392363446;R.V.L DISTRIBUTION SERVICES;ZA DE L'ESPECHE ;31470;FONTENILLES;4674A Autres commerces de gros spécialisés;SALARIE;Etendue;ZA DE L'ESPECHE  31470 FONTENILLES;ZA DE L'ESPECHE  31470 FONTENILLES;43.552556;1.19141;R.V.L DISTRIBUTION SERVICES;SIREN : 392363446 | NAF : 4674A Autres commerces de gros spécialisés |Portée : Etendue
428263156;SARL LES AGAPANTHES DE L'ESTEREL;108 AVENUE MAURICE CHEVALIER ;6150;CANNES LA BOCCA;5520Z Hébergement touristique et autre hébergement de courte durée;SALARIE;Etendue;108 AVENUE MAURICE CHEVALIER  6150 CANNES LA BOCCA;108 AVENUE MAURICE CHEVALIER  6150 CANNES LA BOCCA;43.561878;6.961817;SARL LES AGAPANTHES DE L'ESTEREL;SIREN : 428263156 | NAF : 5520Z Hébergement touristique et autre hébergement de courte durée |Portée : Etendue
428581417;SARL RESIDENCE LE MASSENA;1 AVENUE DE LYON ;6400;CANNES;5520Z Hébergement touristique et autre hébergement de courte durée;SALARIE;Etendue;1 AVENUE DE LYON  6400 CANNES;1 AVENUE DE LYON  6400 CANNES;43.565151;7.020766;SARL RESIDENCE LE MASSENA;SIREN : 428581417 | NAF : 5520Z Hébergement touristique et autre hébergement de courte durée |Portée : Etendue
428722243;SARL RESIDENCE LES STRELITZIAS;2, RUE PIERRE COMMANAY ;6160;JUAN LES PINS;5510Z Hôtels et hébergement similaire;SALARIE;Etendue;2, RUE PIERRE COMMANAY  6160 JUAN LES PINS;2, RUE PIERRE COMMANAY  6160 JUAN LES PINS;43.572455;7.107296;SARL RESIDENCE LES STRELITZIAS;SIREN : 428722243 | NAF : 5510Z Hôtels et hébergement similaire |Portée : Etendue
439251661;GRANULATS DE LA DROME;PARC SAINT JEAN ZAC DU MAS DE GRILLE;34437;SAINT JEAN DE VEDAS;142A Extraction de sables et d'argiles;SALARIE;Etendue;PARC SAINT JEAN ZAC DU MAS DE GRILLE 34437 SAINT JEAN DE VEDAS;PARC SAINT JEAN ZAC DU MAS DE GRILLE 34437 SAINT JEAN DE VEDAS;43.575267;3.826215;GRANULATS DE LA DROME;SIREN : 439251661 | NAF : 142A Extraction de sables et d'argiles |Portée : Etendue
417565744;UNION REGIONALE DES CAISSES D'ASSURANCE MALADIE EN MIDI-PYRENEES;12 PLACE SAINT-ETIENNE BP 872;31015;TOULOUSE CEDEX 06;753A Sécurité sociale obligatoire;SALARIE;Etendue;12 PLACE SAINT-ETIENNE BP 872 31015 TOULOUSE CEDEX 06;12 PLACE SAINT-ETIENNE 31015 TOULOUSE CEDEX 06;43.600285;1.449066;UNION REGIONALE DES CAISSES D'ASSURANCE MALADIE EN MIDI-PYRENEES;SIREN : 417565744 | NAF : 753A Sécurité sociale obligatoire |Portée : Etendue
776950404;CAISSE PRIMAIRE ASSURANCE MALADIE DE HAUTE GARONNE;3 BOULEVARD DU PROFESSEUR LEOPOLD ESCANDE ;31093;TOULOUSE CEDEX 9;753A Sécurité sociale obligatoire;SALARIE;Etendue;3 BOULEVARD DU PROFESSEUR LEOPOLD ESCANDE  31093 TOULOUSE CEDEX 9;3 BOULEVARD DU PROFESSEUR LEOPOLD ESCANDE  31093 TOULOUSE CEDEX 9;43.601631;1.456312;CAISSE PRIMAIRE ASSURANCE MALADIE DE HAUTE GARONNE;SIREN : 776950404 | NAF : 753A Sécurité sociale obligatoire |Portée : Etendue
443972849;VINCI ENERGIES PRODUCTION ET TRANSPORT D'ENERGIE;2 RUE MARYSE HILSZ BP 85218;31500;TOULOUSE;741J Activités juridiques, comptables et de conseil de gestion;SALARIE;Etendue;2 RUE MARYSE HILSZ BP 85218 31500 TOULOUSE;2 RUE MARYSE HILSZ BP 85218 31500 TOULOUSE;43.60402;1.477311;VINCI ENERGIES PRODUCTION ET TRANSPORT D'ENERGIE;SIREN : 443972849 | NAF : 741J Activités juridiques, comptables et de conseil de gestion |Portée : Etendue
508627924;AEROLIA;13 RUE MARIE LOUISE DISSART BP 73216;31027;TOULOUSE;3030Z Construction aéronautique et spatiale;SALARIE;Etendue;13 RUE MARIE LOUISE DISSART BP 73216 31027 TOULOUSE;13 RUE MARIE LOUISE DISSART BP 73216 31027 TOULOUSE;43.604652;1.444209;AEROLIA;SIREN : 508627924 | NAF : 3030Z Construction aéronautique et spatiale |Portée : Etendue
443972310;FOURNIE GROSPAUD SYNERYS;14 RUE PAULE RAYMONDIS ZAC GABARDIE BP 2370;31022;TOULOUSE;4321A Travaux d'installation électrique, plomberie et autres travaux d'installation;SALARIE;Etendue;14 RUE PAULE RAYMONDIS ZAC GABARDIE BP 2370 31022 TOULOUSE;14 RUE PAULE RAYMONDIS ZAC GABARDIE BP 2370 31022 TOULOUSE;43.604652;1.444209;FOURNIE GROSPAUD SYNERYS;SIREN : 443972310 | NAF : 4321A Travaux d'installation électrique, plomberie et autres travaux d'installation |Portée : Etendue
512267270;SELARL NOTAIRE CONSEILS;75, LES ARCADES JACQUES COEUR BATIMENT C 1ER ETAGE PLACE DE L´EUROPE;34970;LATTES;6910Z Activités juridiques;SALARIE;Etendue;75, LES ARCADES JACQUES COEUR BATIMENT C 1ER ETAGE PLACE DE L´EUROPE 34970 LATTES;75, LES ARCADES JACQUES COEUR BATIMENT C 1ER ETAGE PLACE DE L´EUROPE 34970 LATTES;43.60758;3.894498;SELARL NOTAIRE CONSEILS;SIREN : 512267270 | NAF : 6910Z Activités juridiques |Portée : Etendue
393146550;ATR;5 AVENUE G.GUYNEMER ;31770;COLOMIERS;353B Construction aéronautique et spatiale;SALARIE;Etendue;5 AVENUE G.GUYNEMER  31770 COLOMIERS;5 AVENUE G.GUYNEMER  31770 COLOMIERS;43.616523;1.342885;ATR;SIREN : 393146550 | NAF : 353B Construction aéronautique et spatiale |Portée : Etendue
776054108;CESDA;14 RUE SAINT VINCENT DE PAUL ;34090;MONTPELLIER;8891B Autre action sociale sans hébergement;SALARIE;Etendue;14 RUE SAINT VINCENT DE PAUL  34090 MONTPELLIER;14 RUE SAINT VINCENT DE PAUL  34090 MONTPELLIER;43.621836;3.875791;CESDA;SIREN : 776054108 | NAF : 8891B Autre action sociale sans hébergement |Portée : Etendue
312682081;FEDERATION DU CREDIT MUTUEL MIDI-ATLANTIQUE;10 RUE DE LA TUILERIE ;31130;BALMA;9412Z Activités des organisations économiques, patronales et professionnelles;SALARIE;Etendue;10 RUE DE LA TUILERIE  31130 BALMA;10 RUE DE LA TUILERIE  31130 BALMA;43.629104;1.486515;FEDERATION DU CREDIT MUTUEL MIDI-ATLANTIQUE;SIREN : 312682081 | NAF : 9412Z Activités des organisations économiques, patronales et professionnelles |Portée : Etendue
312682099;CAISSE REGIONALE DU CREDIT MUTUEL MIDI-ATLANTIQUE;10 RUE DE LA TUILERIE BP13258 ;31132;BALMA CEDEX;6419Z Intermédiation monétaire;SALARIE;Etendue;10 RUE DE LA TUILERIE BP13258  31132 BALMA CEDEX;10 RUE DE LA TUILERIE 31132 BALMA CEDEX;43.629104;1.486515;CAISSE REGIONALE DU CREDIT MUTUEL MIDI-ATLANTIQUE;SIREN : 312682099 | NAF : 6419Z Intermédiation monétaire |Portée : Etendue
490921012;REGIME SOCIAL DES INDEPENDANT DE MIDI-PYRENEES;11 RUE DE LA TUILERIE BP 13801;31138;BALMA CEDEX;8430A Sécurité sociale obligatoire;SALARIE;Etendue;11 RUE DE LA TUILERIE BP 13801 31138 BALMA CEDEX;11 RUE DE LA TUILERIE 31138 BALMA CEDEX;43.629223;1.486353;REGIME SOCIAL DES INDEPENDANT DE MIDI-PYRENEES;SIREN : 490921012 | NAF : 8430A Sécurité sociale obligatoire |Portée : Etendue
